SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
SAVANT_GROUP	1	1	2	2	1	1	2
ATP6	14.96234081	14.93295897	14.93670217	15.01099952	14.89737433	14.93676261	14.88519009
ND4	14.92207006	14.89960345	14.90454747	14.92863061	14.90545892	14.88572803	14.87318036
COX2	14.89206133	14.88968235	14.88742931	14.87879974	14.87879974	14.86189977	14.89571288
COX1	14.83783058	14.83246462	14.83677965	14.85190266	14.75318032	14.86440518	14.79702793
ND2	14.799577	14.80811994	14.8382162	14.84750388	14.79034089	14.80687058	14.68864066
GFAP	14.60803066	14.51926438	14.47236072	14.55343233	14.37953493	14.54913511	13.97445608
MBP	14.38593835	14.41981871	14.60978924	14.58829598	14.41981871	14.41981871	13.82745084
UBC	14.35614663	14.33511193	14.26170063	14.20011181	14.27954531	14.24779812	14.32350364
EEF1A1	14.19924261	14.21082965	14.20550534	14.07905796	14.02239055	14.22660508	14.1367249
TPT1	14.20913884	14.19126632	14.283027	14.08887589	14.09562727	14.12955564	14.13334861
RPL37A	14.20947075	14.19766598	14.12595852	14.07636365	14.08398222	14.03750472	13.92415045
HSP90AA1	14.26701512	13.9406645	14.27751199	13.70664121	13.88659142	13.85614551	14.06508966
FTH1	13.99984915	13.96413045	13.97366489	13.98847907	13.88811271	13.96413045	13.75745937
RPL41	14.11470625	14.01104628	13.84492715	13.95755802	13.78322791	13.88711273	13.80541739
ACTB	13.74347228	13.96213336	13.61241228	13.85525318	14.00065512	13.8747485	14.18042009
CLU	14.06818556	13.99578608	13.34199477	13.85944727	13.79897325	14.0364452	13.70725478
SPARCL1	13.79347998	13.80020542	13.51726449	14.03173508	13.87091072	13.99284042	13.68412317
GPM6B	13.89933908	13.98840664	13.89679808	13.93016906	13.86954644	14.05161725	13.43260887
MALAT1	13.77009166	13.65821511	14.16074748	14.06110812	14.01010771	14.18351447	13.66189303
PTPRO	14.04145005	13.79910105	14.21760911	14.25847208	13.9846505	13.9006555	13.25033039
PLP1	13.83459086	13.96828517	13.88178012	13.70992495	13.79768324	13.97531188	13.52692358
GAPDH	13.74290247	13.75259461	13.414185	13.78650153	13.89395364	13.67618353	14.00534031
FTL	13.96108358	13.80989012	13.96091486	13.94359069	13.64469262	13.90032699	13.49852816
